"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_zuzuege","zuzuege_je_1000","anzahl_wegzuege","wegzuege_je_1000","wanderungssaldo","wanderungssaldo_je_1000"
"1","C","Lichtenhagen",732,53.9,666,49,66,4.9
"2","K","Kröpeliner-Tor-Vorstadt",1716,92.5,1680,90.5,36,1.9
"3","Q","Dierkow-Ost",15,13.2,23,20.2,-8,-7
"4","D","Groß Klein",667,52,636,49.6,31,2.4
"5","T","Gehlsdorf",221,58.4,183,48.4,38,10
"6","H","Reutershagen",760,41.8,776,42.6,-16,-0.9
"7","G","Schmarl",434,57.1,379,49.9,55,7.2
"8","M","Biestow",61,20.5,99,33.2,-38,-12.8
"9","N","Stadtmitte",1697,96.1,1612,91.3,85,4.8
"10","S","Toitenwinkel",727,57.7,743,59,-16,-1.3
"11","O","Brinckmansdorf",182,22.4,251,30.8,-69,-8.5
"12","E","Lütten Klein",849,50.8,891,53.3,-42,-2.5
"13","I","Hansaviertel",468,54.4,525,61,-57,-6.6
"14","U","Rostock-Ost",19,15.4,44,35.7,-25,-20.3
"15","L","Südstadt",839,57.6,705,48.4,134,9.2
"16","F","Evershagen",897,54.8,797,48.7,100,6.1
"17","R","Dierkow-West",15,12.3,36,29.4,-21,-17.2
"18","P","Dierkow-Neu",707,68.2,582,56.2,125,12.1
"19","A","Warnemünde",330,40.3,370,45.2,-40,-4.9
"20","B","Rostock-Heide",106,68.2,134,86.2,-28,-18
"21","J","Gartenstadt-Stadtweide",106,32.3,104,31.7,2,0.6
