"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_zuzuege","zuzuege_je_1000","anzahl_wegzuege","wegzuege_je_1000","wanderungssaldo","wanderungssaldo_je_1000"
"1","C","Lichtenhagen",737,54.7,674,50,63,4.7
"2","K","Kröpeliner-Tor-Vorstadt",1728,96,1497,83.2,231,12.8
"3","Q","Dierkow-Ost",10,8.5,31,26.5,-21,-17.9
"4","D","Groß Klein",644,51.8,522,42,122,9.8
"5","T","Gehlsdorf",155,42.8,123,34,32,8.8
"6","H","Reutershagen",635,35,596,32.8,39,2.1
"7","G","Schmarl",375,49.5,325,42.9,50,6.6
"8","M","Biestow",60,20,95,31.7,-35,-11.7
"9","N","Stadtmitte",1742,101.9,1424,83.3,318,18.6
"10","S","Toitenwinkel",673,51.7,701,53.9,-28,-2.2
"11","O","Brinckmansdorf",201,24.6,201,24.6,0,0
"12","E","Lütten Klein",773,44.3,656,37.6,117,6.7
"13","I","Hansaviertel",488,56.9,488,56.9,0,0
"14","U","Rostock-Ost",26,22,39,33,-13,-11
"15","L","Südstadt",837,58.3,657,45.8,180,12.5
"16","F","Evershagen",745,46.4,608,37.9,137,8.5
"17","R","Dierkow-West",32,25.7,38,30.6,-6,-4.8
"18","P","Dierkow-Neu",530,50.6,532,50.8,-2,-0.2
"19","A","Warnemünde",324,38.6,294,35,30,3.6
"20","B","Rostock-Heide",107,66.9,103,64.4,4,2.5
"21","J","Gartenstadt-Stadtweide",170,51,98,29.4,72,21.6
