"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_zuzuege","zuzuege_je_1000","anzahl_wegzuege","wegzuege_je_1000","wanderungssaldo","wanderungssaldo_je_1000"
"1","C","Lichtenhagen",817,60.1,617,45.4,200,14.7
"2","K","Kröpeliner-Tor-Vorstadt",1775,93.2,1740,91.3,35,1.8
"3","Q","Dierkow-Ost",19,16.9,23,20.5,-4,-3.6
"4","D","Groß Klein",729,56.9,566,44.2,163,12.7
"5","T","Gehlsdorf",218,56.8,168,43.7,50,13
"6","H","Reutershagen",622,34.4,675,37.3,-53,-2.9
"7","G","Schmarl",507,62.9,342,42.4,165,20.5
"8","M","Biestow",57,19.4,91,30.9,-34,-11.6
"9","N","Stadtmitte",1648,91.9,1511,84.2,137,7.6
"10","S","Toitenwinkel",859,66.2,612,47.1,247,19
"11","O","Brinckmansdorf",204,25,200,24.5,4,0.5
"12","E","Lütten Klein",699,41.5,573,34,126,7.5
"13","I","Hansaviertel",474,55.1,504,58.6,-30,-3.5
"14","U","Rostock-Ost",24,19.8,43,35.5,-19,-15.7
"15","L","Südstadt",757,52.3,648,44.8,109,7.5
"16","F","Evershagen",849,52,712,43.6,137,8.4
"17","R","Dierkow-West",35,28.7,22,18.1,13,10.7
"18","P","Dierkow-Neu",701,66.8,555,52.9,146,13.9
"19","A","Warnemünde",265,33.2,286,35.8,-21,-2.6
"20","B","Rostock-Heide",91,58.2,83,53.1,8,5.1
"21","J","Gartenstadt-Stadtweide",243,73.1,132,39.7,111,33.4
