"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_zuzuege","zuzuege_je_1000","anzahl_wegzuege","wegzuege_je_1000","wanderungssaldo","wanderungssaldo_je_1000"
"1","C","Lichtenhagen",723,51.3,778,55.2,-55,-3.9
"2","K","Kröpeliner-Tor-Vorstadt",1566,81.8,1795,93.7,-229,-12
"3","Q","Dierkow-Ost",14,12.8,27,24.7,-13,-11.9
"4","D","Groß Klein",670,51.8,593,45.9,77,6
"5","T","Gehlsdorf",214,49.5,202,46.7,12,2.8
"6","H","Reutershagen",833,46,841,46.4,-8,-0.4
"7","G","Schmarl",540,62.7,417,48.4,123,14.3
"8","M","Biestow",46,16.3,77,27.3,-31,-11
"9","N","Stadtmitte",1412,75.2,1501,79.9,-89,-4.7
"10","S","Toitenwinkel",867,64.7,777,57.9,90,6.7
"11","O","Brinckmansdorf",175,21.4,209,25.6,-34,-4.2
"12","E","Lütten Klein",833,49.2,814,48.1,19,1.1
"13","I","Hansaviertel",435,51.4,489,57.8,-54,-6.4
"14","U","Rostock-Ost",36,30.6,45,38.2,-9,-7.6
"15","L","Südstadt",971,66,869,59.1,102,6.9
"16","F","Evershagen",841,50.8,811,48.9,30,1.8
"17","R","Dierkow-West",17,14.8,23,20.1,-6,-5.2
"18","P","Dierkow-Neu",701,66,584,55,117,11
"19","A","Warnemünde",321,41,285,36.4,36,4.6
"20","B","Rostock-Heide",72,46,62,39.6,10,6.4
"21","J","Gartenstadt-Stadtweide",361,107.4,129,38.4,232,69
