"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_zuzuege","zuzuege_je_1000","anzahl_wegzuege","wegzuege_je_1000","wanderungssaldo","wanderungssaldo_je_1000"
"1","C","Lichtenhagen",729,53.8,729,53.8,0,0
"2","K","Kröpeliner-Tor-Vorstadt",1736,98.2,1429,80.8,307,17.4
"3","Q","Dierkow-Ost",22,18.5,31,26,-9,-7.6
"4","D","Groß Klein",679,56,494,40.8,185,15.3
"5","T","Gehlsdorf",184,52,131,37,53,15
"6","H","Reutershagen",616,34.1,609,33.7,7,0.4
"7","G","Schmarl",344,45,393,51.4,-49,-6.4
"8","M","Biestow",66,21.8,92,30.4,-26,-8.6
"9","N","Stadtmitte",1774,107.5,1243,75.3,531,32.2
"10","S","Toitenwinkel",608,46.1,681,51.6,-73,-5.5
"11","O","Brinckmansdorf",198,24.6,215,26.7,-17,-2.1
"12","E","Lütten Klein",649,37,668,38.1,-19,-1.1
"13","I","Hansaviertel",461,54,456,53.4,5,0.6
"14","U","Rostock-Ost",60,50.7,60,50.7,0,0
"15","L","Südstadt",851,59.4,636,44.4,215,15
"16","F","Evershagen",701,43.9,695,43.5,6,0.4
"17","R","Dierkow-West",37,28.9,33,25.7,4,3.1
"18","P","Dierkow-Neu",533,50.6,542,51.4,-9,-0.9
"19","A","Warnemünde",302,35.8,381,45.1,-79,-9.4
"20","B","Rostock-Heide",84,51.8,120,74,-36,-22.2
"21","J","Gartenstadt-Stadtweide",129,40.5,138,43.4,-9,-2.8
