"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_zuzuege","zuzuege_je_1000","anzahl_wegzuege","wegzuege_je_1000","wanderungssaldo","wanderungssaldo_je_1000"
"1","C","Lichtenhagen",856,60.6,715,50.7,141,10
"2","K","Kröpeliner-Tor-Vorstadt",1603,82.5,1533,78.9,70,3.6
"3","Q","Dierkow-Ost",7,6.3,19,17.2,-12,-10.8
"4","D","Groß Klein",711,55.1,594,46.1,117,9.1
"5","T","Gehlsdorf",142,35.7,126,31.7,16,4
"6","H","Reutershagen",655,36.3,716,39.6,-61,-3.4
"7","G","Schmarl",515,62.1,459,55.4,56,6.8
"8","M","Biestow",43,14.9,47,16.3,-4,-1.4
"9","N","Stadtmitte",1693,91.8,1512,82,181,9.8
"10","S","Toitenwinkel",859,65.1,803,60.9,56,4.2
"11","O","Brinckmansdorf",211,25.8,236,28.9,-25,-3.1
"12","E","Lütten Klein",895,52.6,662,38.9,233,13.7
"13","I","Hansaviertel",408,47.9,487,57.2,-79,-9.3
"14","U","Rostock-Ost",21,17.5,35,29.2,-14,-11.7
"15","L","Südstadt",903,61.3,669,45.4,234,15.9
"16","F","Evershagen",853,51.6,777,47,76,4.6
"17","R","Dierkow-West",18,15.2,19,16,-1,-0.8
"18","P","Dierkow-Neu",667,62.8,544,51.2,123,11.6
"19","A","Warnemünde",292,36.9,275,34.8,17,2.1
"20","B","Rostock-Heide",88,56.3,75,48,13,8.3
"21","J","Gartenstadt-Stadtweide",175,53.6,149,45.6,26,8
