"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_zuzuege","zuzuege_je_1000","anzahl_wegzuege","wegzuege_je_1000","wanderungssaldo","wanderungssaldo_je_1000"
"1","C","Lichtenhagen",802,55.9,668,46.6,134,9.3
"2","K","Kröpeliner-Tor-Vorstadt",1617,83.6,1607,83.1,10,0.5
"3","Q","Dierkow-Ost",15,14.2,25,23.6,-10,-9.5
"4","D","Groß Klein",765,56.6,635,47,130,9.6
"5","T","Gehlsdorf",330,70.8,182,39,148,31.7
"6","H","Reutershagen",721,40.1,696,38.7,25,1.4
"7","G","Schmarl",507,57.9,444,50.7,63,7.2
"8","M","Biestow",50,18.2,76,27.6,-26,-9.4
"9","N","Stadtmitte",1669,83.5,1578,79,91,4.6
"10","S","Toitenwinkel",1000,71.4,834,59.5,166,11.8
"11","O","Brinckmansdorf",219,26.3,219,26.3,0,0
"12","E","Lütten Klein",831,48.2,638,37,193,11.2
"13","I","Hansaviertel",427,50.4,485,57.3,-58,-6.9
"14","U","Rostock-Ost",63,53.2,59,49.8,4,3.4
"15","L","Südstadt",924,61.6,939,62.6,-15,-1
"16","F","Evershagen",871,51.7,682,40.5,189,11.2
"17","R","Dierkow-West",28,24.5,28,24.5,0,0
"18","P","Dierkow-Neu",595,54.5,580,53.1,15,1.4
"19","A","Warnemünde",472,58.2,295,36.4,177,21.8
"20","B","Rostock-Heide",98,61.1,76,47.4,22,13.7
"21","J","Gartenstadt-Stadtweide",226,68.2,156,47.1,70,21.1
