"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_zuzuege","zuzuege_je_1000","anzahl_wegzuege","wegzuege_je_1000","wanderungssaldo","wanderungssaldo_je_1000"
"1","C","Lichtenhagen",846,61.1,667,48.1,179,12.9
"2","K","Kröpeliner-Tor-Vorstadt",1621,84.2,1540,80,81,4.2
"3","Q","Dierkow-Ost",25,22.1,11,9.7,14,12.4
"4","D","Groß Klein",759,58.7,560,43.3,199,15.4
"5","T","Gehlsdorf",177,45.7,161,41.6,16,4.1
"6","H","Reutershagen",635,35.5,693,38.7,-58,-3.2
"7","G","Schmarl",508,61.9,399,48.6,109,13.3
"8","M","Biestow",45,15.4,58,19.9,-13,-4.5
"9","N","Stadtmitte",1657,91.5,1595,88.1,62,3.4
"10","S","Toitenwinkel",882,66.6,661,49.9,221,16.7
"11","O","Brinckmansdorf",192,23.3,179,21.7,13,1.6
"12","E","Lütten Klein",795,46.8,563,33.1,232,13.6
"13","I","Hansaviertel",431,50.2,391,45.5,40,4.7
"14","U","Rostock-Ost",26,21.5,31,25.6,-5,-4.1
"15","L","Südstadt",904,62.3,706,48.6,198,13.6
"16","F","Evershagen",988,59.5,676,40.7,312,18.8
"17","R","Dierkow-West",17,14.3,20,16.8,-3,-2.5
"18","P","Dierkow-Neu",716,67.9,616,58.4,100,9.5
"19","A","Warnemünde",299,37.6,268,33.7,31,3.9
"20","B","Rostock-Heide",81,51.7,71,45.3,10,6.4
"21","J","Gartenstadt-Stadtweide",161,48.6,125,37.7,36,10.9
