"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_zuzuege","zuzuege_je_1000","anzahl_wegzuege","wegzuege_je_1000","wanderungssaldo","wanderungssaldo_je_1000"
"1","C","Lichtenhagen",734,52,624,44.2,110,7.8
"2","K","Kröpeliner-Tor-Vorstadt",1656,84.7,1511,77.2,145,7.4
"3","Q","Dierkow-Ost",21,20.1,17,16.2,4,3.8
"4","D","Groß Klein",806,59.9,788,58.5,18,1.3
"5","T","Gehlsdorf",309,67.1,189,41,120,26.1
"6","H","Reutershagen",602,33.9,791,44.6,-189,-10.7
"7","G","Schmarl",446,51,438,50,8,0.9
"8","M","Biestow",55,20.4,91,33.7,-36,-13.3
"9","N","Stadtmitte",1720,83.1,1541,74.5,179,8.7
"10","S","Toitenwinkel",1202,84.6,891,62.7,311,21.9
"11","O","Brinckmansdorf",223,26.7,226,27,-3,-0.4
"12","E","Lütten Klein",753,44.3,644,37.9,109,6.4
"13","I","Hansaviertel",465,55.3,487,58,-22,-2.6
"14","U","Rostock-Ost",48,38.6,41,33,7,5.6
"15","L","Südstadt",963,64.5,834,55.9,129,8.6
"16","F","Evershagen",787,46.5,863,50.9,-76,-4.5
"17","R","Dierkow-West",26,21.4,24,19.8,2,1.6
"18","P","Dierkow-Neu",624,56.9,556,50.7,68,6.2
"19","A","Warnemünde",453,54.3,284,34.1,169,20.3
"20","B","Rostock-Heide",122,77,110,69.4,12,7.6
"21","J","Gartenstadt-Stadtweide",156,48.1,148,45.6,8,2.5
