"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_zuzuege","zuzuege_je_1000","anzahl_wegzuege","wegzuege_je_1000","wanderungssaldo","wanderungssaldo_je_1000"
"1","C","Lichtenhagen",698,51.5,577,42.6,121,8.9
"2","K","Kröpeliner-Tor-Vorstadt",1772,96.2,1628,88.4,144,7.8
"3","Q","Dierkow-Ost",22,19,24,20.8,-2,-1.7
"4","D","Groß Klein",688,53.9,558,43.7,130,10.2
"5","T","Gehlsdorf",150,41,138,37.7,12,3.3
"6","H","Reutershagen",710,38.9,628,34.4,82,4.5
"7","G","Schmarl",312,41.4,313,41.5,-1,-0.1
"8","M","Biestow",69,23,82,27.3,-13,-4.3
"9","N","Stadtmitte",1813,105.6,1776,103.4,37,2.2
"10","S","Toitenwinkel",709,55.3,674,52.5,35,2.7
"11","O","Brinckmansdorf",209,25.5,282,34.3,-73,-8.9
"12","E","Lütten Klein",756,44.2,790,46.2,-34,-2
"13","I","Hansaviertel",510,58.8,414,47.7,96,11.1
"14","U","Rostock-Ost",32,26.4,27,22.3,5,4.1
"15","L","Südstadt",853,59,628,43.4,225,15.6
"16","F","Evershagen",942,58,693,42.7,249,15.3
"17","R","Dierkow-West",21,16.8,20,16,1,0.8
"18","P","Dierkow-Neu",522,50.8,565,55,-43,-4.2
"19","A","Warnemünde",327,39.2,334,40.1,-7,-0.8
"20","B","Rostock-Heide",110,68.3,105,65.2,5,3.1
"21","J","Gartenstadt-Stadtweide",87,26.6,120,36.7,-33,-10.1
