"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_maennlich","anteil_maennlich","anzahl_weiblich","anteil_weiblich"
"1","C","Lichtenhagen",7038,49.9,7078,50.1
"2","K","Kröpeliner-Tor-Vorstadt",9606,49.5,9815,50.5
"3","Q","Dierkow-Ost",542,49,564,51
"4","D","Groß Klein",6463,50.1,6434,49.9
"5","T","Gehlsdorf",2005,50.5,1968,49.5
"6","H","Reutershagen",8508,47.1,9558,52.9
"7","G","Schmarl",4085,49.3,4205,50.7
"8","M","Biestow",1401,48.4,1491,51.6
"9","N","Stadtmitte",9293,50.4,9151,49.6
"10","S","Toitenwinkel",6654,50.4,6541,49.6
"11","O","Brinckmansdorf",4059,49.7,4110,50.3
"12","E","Lütten Klein",7839,46.1,9172,53.9
"13","I","Hansaviertel",4047,47.5,4466,52.5
"14","U","Rostock-Ost",612,51.1,585,48.9
"15","L","Südstadt",6677,45.3,8058,54.7
"16","F","Evershagen",8065,48.8,8465,51.2
"17","R","Dierkow-West",592,50,592,50
"18","P","Dierkow-Neu",5426,51.1,5197,48.9
"19","A","Warnemünde",3719,47,4193,53
"20","B","Rostock-Heide",810,51.8,753,48.2
"21","J","Gartenstadt-Stadtweide",1694,51.9,1573,48.1
