"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_maennlich","anteil_maennlich","anzahl_weiblich","anteil_weiblich"
"1","C","Lichtenhagen",6705,49.8,6762,50.2
"2","K","Kröpeliner-Tor-Vorstadt",8882,49.3,9121,50.7
"3","Q","Dierkow-Ost",586,50,586,50
"4","D","Groß Klein",6224,50.1,6210,49.9
"5","T","Gehlsdorf",1872,51.7,1749,48.3
"6","H","Reutershagen",8510,46.9,9634,53.1
"7","G","Schmarl",3732,49.3,3838,50.7
"8","M","Biestow",1452,48.4,1545,51.6
"9","N","Stadtmitte",8643,50.6,8446,49.4
"10","S","Toitenwinkel",6565,50.5,6442,49.5
"11","O","Brinckmansdorf",4088,50.1,4074,49.9
"12","E","Lütten Klein",8073,46.3,9366,53.7
"13","I","Hansaviertel",4023,46.9,4548,53.1
"14","U","Rostock-Ost",592,50.1,589,49.9
"15","L","Südstadt",6460,45,7894,55
"16","F","Evershagen",7737,48.2,8319,51.8
"17","R","Dierkow-West",638,51.3,605,48.7
"18","P","Dierkow-Neu",5295,50.6,5175,49.4
"19","A","Warnemünde",3977,47.4,4418,52.6
"20","B","Rostock-Heide",838,52.4,762,47.6
"21","J","Gartenstadt-Stadtweide",1678,50.4,1653,49.6
