"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_maennlich","anteil_maennlich","anzahl_weiblich","anteil_weiblich"
"1","C","Lichtenhagen",6736,49.7,6817,50.3
"2","K","Kröpeliner-Tor-Vorstadt",8676,49.1,9011,50.9
"3","Q","Dierkow-Ost",598,50.2,593,49.8
"4","D","Groß Klein",6083,50.2,6036,49.8
"5","T","Gehlsdorf",1824,51.5,1715,48.5
"6","H","Reutershagen",8494,47,9575,53
"7","G","Schmarl",3785,49.5,3865,50.5
"8","M","Biestow",1473,48.7,1549,51.3
"9","N","Stadtmitte",8327,50.4,8181,49.6
"10","S","Toitenwinkel",6662,50.5,6539,49.5
"11","O","Brinckmansdorf",4027,50,4025,50
"12","E","Lütten Klein",8021,45.7,9528,54.3
"13","I","Hansaviertel",4010,47,4530,53
"14","U","Rostock-Ost",594,50.2,590,49.8
"15","L","Südstadt",6499,45.4,7824,54.6
"16","F","Evershagen",7678,48.1,8284,51.9
"17","R","Dierkow-West",658,51.3,624,48.7
"18","P","Dierkow-Neu",5331,50.6,5211,49.4
"19","A","Warnemünde",4004,47.4,4437,52.6
"20","B","Rostock-Heide",855,52.7,766,47.3
"21","J","Gartenstadt-Stadtweide",1637,51.4,1546,48.6
