"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_maennlich","anteil_maennlich","anzahl_weiblich","anteil_weiblich"
"1","C","Lichtenhagen",7084,50.2,7041,49.8
"2","K","Kröpeliner-Tor-Vorstadt",9645,49.3,9925,50.7
"3","Q","Dierkow-Ost",493,47.4,546,52.6
"4","D","Groß Klein",6855,50.6,6702,49.4
"5","T","Gehlsdorf",2354,51,2261,49
"6","H","Reutershagen",8449,47.4,9381,52.6
"7","G","Schmarl",4401,50.1,4386,49.9
"8","M","Biestow",1324,48.4,1412,51.6
"9","N","Stadtmitte",10302,50,10291,50
"10","S","Toitenwinkel",7234,51.6,6775,48.4
"11","O","Brinckmansdorf",4089,49.1,4233,50.9
"12","E","Lütten Klein",7969,46.6,9122,53.4
"13","I","Hansaviertel",3962,47.2,4429,52.8
"14","U","Rostock-Ost",617,50.7,600,49.3
"15","L","Südstadt",6994,46.8,7947,53.2
"16","F","Evershagen",8470,49.9,8519,50.1
"17","R","Dierkow-West",614,50.9,592,49.1
"18","P","Dierkow-Neu",5565,50.9,5361,49.1
"19","A","Warnemünde",3925,47.4,4349,52.6
"20","B","Rostock-Heide",788,50.3,780,49.7
"21","J","Gartenstadt-Stadtweide",1700,51.5,1599,48.5
