"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_maennlich","anteil_maennlich","anzahl_weiblich","anteil_weiblich"
"1","A","Warnemünde",3977,47,4487,53
"2","B","Rostock-Heide",822,49.3,845,50.7
"3","C","Lichtenhagen",6927,49.8,6991,50.2
"4","D","Groß Klein",6822,50.4,6705,49.6
"5","E","Lütten Klein",7794,47,8781,53
"6","F","Evershagen",8194,49.3,8422,50.7
"7","G","Schmarl",4313,50,4307,50
"8","H","Reutershagen",8298,47.8,9063,52.2
"9","I","Hansaviertel",3868,47.2,4328,52.8
"10","J","Gartenstadt-Stadtweide",1628,50.5,1597,49.5
"11","K","Kröpeliner-Tor-Vorstadt",9517,49.3,9803,50.7
"12","L","Südstadt",7067,47.2,7895,52.8
"13","M","Biestow",1216,46.8,1383,53.2
"14","N","Stadtmitte",10441,49.7,10562,50.3
"15","O","Brinckmansdorf",4235,48.8,4441,51.2
"16","P","Dierkow-Neu",5609,51.4,5302,48.6
"17","Q","Dierkow-Ost",487,47.5,539,52.5
"18","R","Dierkow-West",609,51,586,49
"19","S","Toitenwinkel",7842,52,7244,48
"20","T","Gehlsdorf",2575,50.5,2525,49.5
"21","U","Rostock-Ost",634,51.7,592,48.3
