"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_maennlich","anteil_maennlich","anzahl_weiblich","anteil_weiblich"
"1","C","Lichtenhagen",6725,49.8,6781,50.2
"2","K","Kröpeliner-Tor-Vorstadt",9265,49.1,9608,50.9
"3","Q","Dierkow-Ost",563,50,563,50
"4","D","Groß Klein",6381,50,6381,50
"5","T","Gehlsdorf",1964,51.5,1851,48.5
"6","H","Reutershagen",8524,47.1,9583,52.9
"7","G","Schmarl",3839,49.2,3969,50.8
"8","M","Biestow",1433,48.2,1540,51.8
"9","N","Stadtmitte",8922,50.5,8736,49.5
"10","S","Toitenwinkel",6460,50.5,6329,49.5
"11","O","Brinckmansdorf",4066,49.8,4094,50.2
"12","E","Lütten Klein",7694,46.2,8949,53.8
"13","I","Hansaviertel",4120,47.7,4524,52.3
"14","U","Rostock-Ost",617,50.6,602,49.4
"15","L","Südstadt",6552,45.4,7886,54.6
"16","F","Evershagen",7956,48.8,8337,51.2
"17","R","Dierkow-West",623,50.8,604,49.2
"18","P","Dierkow-Neu",5286,50.8,5116,49.2
"19","A","Warnemünde",3856,47.6,4244,52.4
"20","B","Rostock-Heide",807,51.6,757,48.4
"21","J","Gartenstadt-Stadtweide",1642,50.2,1631,49.8
