"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_maennlich","anteil_maennlich","anzahl_weiblich","anteil_weiblich"
"1","C","Lichtenhagen",6753,49.9,6791,50.1
"2","K","Kröpeliner-Tor-Vorstadt",9056,49.2,9368,50.8
"3","Q","Dierkow-Ost",579,50.1,576,49.9
"4","D","Groß Klein",6421,50.3,6342,49.7
"5","T","Gehlsdorf",1903,52,1758,48
"6","H","Reutershagen",8571,47,9680,53
"7","G","Schmarl",3696,49,3847,51
"8","M","Biestow",1449,48.3,1551,51.7
"9","N","Stadtmitte",8713,50.7,8459,49.3
"10","S","Toitenwinkel",6466,50.4,6364,49.6
"11","O","Brinckmansdorf",4098,49.9,4112,50.1
"12","E","Lütten Klein",7931,46.3,9185,53.7
"13","I","Hansaviertel",4067,46.9,4607,53.1
"14","U","Rostock-Ost",613,50.6,599,49.4
"15","L","Südstadt",6540,45.2,7923,54.8
"16","F","Evershagen",7877,48.5,8358,51.5
"17","R","Dierkow-West",638,51.1,610,48.9
"18","P","Dierkow-Neu",5231,50.9,5038,49.1
"19","A","Warnemünde",3966,47.6,4373,52.4
"20","B","Rostock-Heide",834,51.8,777,48.2
"21","J","Gartenstadt-Stadtweide",1648,50.3,1626,49.7
