"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_maennlich","anteil_maennlich","anzahl_weiblich","anteil_weiblich"
"1","A","Warnemünde",3974,46.7,4538,53.3
"2","B","Rostock-Heide",841,48.9,880,51.1
"3","C","Lichtenhagen",6869,49.4,7028,50.6
"4","D","Groß Klein",6815,50.2,6771,49.8
"5","E","Lütten Klein",8034,47,9045,53
"6","F","Evershagen",8097,49,8432,51
"7","G","Schmarl",4825,52.1,4442,47.9
"8","H","Reutershagen",8338,48.1,8997,51.9
"9","I","Hansaviertel",3804,47.2,4254,52.8
"10","J","Gartenstadt-Stadtweide",1619,50.5,1589,49.5
"11","K","Kröpeliner-Tor-Vorstadt",9373,48.8,9838,51.2
"12","L","Südstadt",6993,46.6,8008,53.4
"13","M","Biestow",1214,46.4,1402,53.6
"14","N","Stadtmitte",10519,49.4,10760,50.6
"15","O","Brinckmansdorf",4440,48.5,4706,51.5
"16","P","Dierkow-Neu",5710,51,5478,49
"17","Q","Dierkow-Ost",477,47.2,533,52.8
"18","R","Dierkow-West",639,50,639,50
"19","S","Toitenwinkel",7912,51.4,7488,48.6
"20","T","Gehlsdorf",2570,50,2574,50
"21","U","Rostock-Ost",635,51.8,592,48.2
