"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_maennlich","anteil_maennlich","anzahl_weiblich","anteil_weiblich"
"1","C","Lichtenhagen",7236,50.5,7102,49.5
"2","K","Kröpeliner-Tor-Vorstadt",9527,49.3,9815,50.7
"3","Q","Dierkow-Ost",512,48.4,546,51.6
"4","D","Groß Klein",6837,50.6,6672,49.4
"5","T","Gehlsdorf",2390,51.3,2272,48.7
"6","H","Reutershagen",8528,47.4,9450,52.6
"7","G","Schmarl",4402,50.3,4354,49.7
"8","M","Biestow",1320,47.9,1433,52.1
"9","N","Stadtmitte",9988,50,9998,50
"10","S","Toitenwinkel",7247,51.7,6763,48.3
"11","O","Brinckmansdorf",4091,49.2,4226,50.8
"12","E","Lütten Klein",8030,46.6,9204,53.4
"13","I","Hansaviertel",4024,47.5,4441,52.5
"14","U","Rostock-Ost",602,50.8,582,49.2
"15","L","Südstadt",6957,46.4,8041,53.6
"16","F","Evershagen",8378,49.7,8469,50.3
"17","R","Dierkow-West",590,51.7,551,48.3
"18","P","Dierkow-Neu",5544,50.8,5372,49.2
"19","A","Warnemünde",3841,47.4,4264,52.6
"20","B","Rostock-Heide",815,50.8,790,49.2
"21","J","Gartenstadt-Stadtweide",1710,51.6,1602,48.4
