"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_maennlich","anteil_maennlich","anzahl_weiblich","anteil_weiblich"
"1","C","Lichtenhagen",6789,50,6802,50
"2","K","Kröpeliner-Tor-Vorstadt",9440,49.5,9613,50.5
"3","Q","Dierkow-Ost",554,49.4,567,50.6
"4","D","Groß Klein",6380,49.8,6428,50.2
"5","T","Gehlsdorf",1967,51.2,1874,48.8
"6","H","Reutershagen",8525,47.1,9562,52.9
"7","G","Schmarl",3956,49.1,4101,50.9
"8","M","Biestow",1412,48,1529,52
"9","N","Stadtmitte",9123,50.9,8812,49.1
"10","S","Toitenwinkel",6532,50.3,6453,49.7
"11","O","Brinckmansdorf",4088,50.1,4077,49.9
"12","E","Lütten Klein",7743,46,9087,54
"13","I","Hansaviertel",4083,47.5,4520,52.5
"14","U","Rostock-Ost",620,51.2,590,48.8
"15","L","Südstadt",6594,45.6,7875,54.4
"16","F","Evershagen",7951,48.7,8386,51.3
"17","R","Dierkow-West",618,50.7,600,49.3
"18","P","Dierkow-Neu",5378,51.2,5121,48.8
"19","A","Warnemünde",3767,47.2,4219,52.8
"20","B","Rostock-Heide",807,51.6,756,48.4
"21","J","Gartenstadt-Stadtweide",1710,51.5,1612,48.5
