"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_maennlich","anteil_maennlich","anzahl_weiblich","anteil_weiblich"
"1","C","Lichtenhagen",7036,49.9,7055,50.1
"2","K","Kröpeliner-Tor-Vorstadt",9398,49.1,9756,50.9
"3","Q","Dierkow-Ost",534,48.9,558,51.1
"4","D","Groß Klein",6501,50.3,6431,49.7
"5","T","Gehlsdorf",2183,50.5,2138,49.5
"6","H","Reutershagen",8495,46.9,9613,53.1
"7","G","Schmarl",4249,49.3,4367,50.7
"8","M","Biestow",1367,48.5,1450,51.5
"9","N","Stadtmitte",9349,49.8,9436,50.2
"10","S","Toitenwinkel",6794,50.7,6615,49.3
"11","O","Brinckmansdorf",4052,49.6,4118,50.4
"12","E","Lütten Klein",7816,46.2,9115,53.8
"13","I","Hansaviertel",4001,47.3,4455,52.7
"14","U","Rostock-Ost",599,50.9,578,49.1
"15","L","Südstadt",6706,45.6,7997,54.4
"16","F","Evershagen",8155,49.2,8416,50.8
"17","R","Dierkow-West",586,51.1,560,48.9
"18","P","Dierkow-Neu",5374,50.6,5241,49.4
"19","A","Warnemünde",3674,46.9,4153,53.1
"20","B","Rostock-Heide",802,51.2,763,48.8
"21","J","Gartenstadt-Stadtweide",1742,51.8,1620,48.2
