"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_maennlich","anteil_maennlich","anzahl_weiblich","anteil_weiblich"
"1","C","Lichtenhagen",6941,50.1,6913,49.9
"2","K","Kröpeliner-Tor-Vorstadt",9559,49.7,9691,50.3
"3","Q","Dierkow-Ost",552,48.8,579,51.2
"4","D","Groß Klein",6449,49.9,6471,50.1
"5","T","Gehlsdorf",1964,50.7,1910,49.3
"6","H","Reutershagen",8440,47.1,9461,52.9
"7","G","Schmarl",4051,49.4,4152,50.6
"8","M","Biestow",1420,48.7,1498,51.3
"9","N","Stadtmitte",9166,50.6,8935,49.4
"10","S","Toitenwinkel",6673,50.4,6566,49.6
"11","O","Brinckmansdorf",4087,49.7,4144,50.3
"12","E","Lütten Klein",7824,46,9176,54
"13","I","Hansaviertel",4083,47.5,4510,52.5
"14","U","Rostock-Ost",617,51,592,49
"15","L","Südstadt",6581,45.3,7934,54.7
"16","F","Evershagen",8126,48.9,8490,51.1
"17","R","Dierkow-West",599,50.3,593,49.7
"18","P","Dierkow-Neu",5419,51.4,5133,48.6
"19","A","Warnemünde",3749,47.2,4202,52.8
"20","B","Rostock-Heide",812,51.8,755,48.2
"21","J","Gartenstadt-Stadtweide",1706,51.5,1608,48.5
