"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_maennlich","anteil_maennlich","anzahl_weiblich","anteil_weiblich"
"1","C","Lichtenhagen",6779,49.9,6799,50.1
"2","K","Kröpeliner-Tor-Vorstadt",9062,48.8,9494,51.2
"3","Q","Dierkow-Ost",571,50.3,565,49.7
"4","D","Groß Klein",6415,50.1,6402,49.9
"5","T","Gehlsdorf",1956,51.7,1827,48.3
"6","H","Reutershagen",8582,47.1,9621,52.9
"7","G","Schmarl",3725,49,3877,51
"8","M","Biestow",1439,48.3,1541,51.7
"9","N","Stadtmitte",9000,51,8652,49
"10","S","Toitenwinkel",6348,50.4,6242,49.6
"11","O","Brinckmansdorf",4042,49.6,4100,50.4
"12","E","Lütten Klein",7763,46.4,8965,53.6
"13","I","Hansaviertel",4084,47.5,4522,52.5
"14","U","Rostock-Ost",618,50.1,615,49.9
"15","L","Südstadt",6580,45.2,7980,54.8
"16","F","Evershagen",7981,48.8,8387,51.2
"17","R","Dierkow-West",625,51.1,598,48.9
"18","P","Dierkow-Neu",5264,50.8,5100,49.2
"19","A","Warnemünde",3893,47.5,4297,52.5
"20","B","Rostock-Heide",805,51.8,749,48.2
"21","J","Gartenstadt-Stadtweide",1642,50,1639,50
