"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_maennlich","anteil_maennlich","anzahl_weiblich","anteil_weiblich"
"1","C","Lichtenhagen",7066,50.1,7048,49.9
"2","K","Kröpeliner-Tor-Vorstadt",9524,49.3,9799,50.7
"3","Q","Dierkow-Ost",527,48.5,560,51.5
"4","D","Groß Klein",6651,50.5,6532,49.5
"5","T","Gehlsdorf",2207,50.5,2166,49.5
"6","H","Reutershagen",8573,47.3,9544,52.7
"7","G","Schmarl",4412,49.9,4438,50.1
"8","M","Biestow",1342,48.2,1442,51.8
"9","N","Stadtmitte",9778,50,9788,50
"10","S","Toitenwinkel",7001,50.8,6774,49.2
"11","O","Brinckmansdorf",4033,49.5,4121,50.5
"12","E","Lütten Klein",7954,46.5,9153,53.5
"13","I","Hansaviertel",4041,47.7,4426,52.3
"14","U","Rostock-Ost",619,51.5,583,48.5
"15","L","Südstadt",6773,45.8,8013,54.2
"16","F","Evershagen",8166,49.2,8421,50.8
"17","R","Dierkow-West",595,51.5,561,48.5
"18","P","Dierkow-Neu",5404,50.7,5254,49.3
"19","A","Warnemünde",3687,46.9,4173,53.1
"20","B","Rostock-Heide",812,51.3,770,48.7
"21","J","Gartenstadt-Stadtweide",1728,52.3,1574,47.7
