"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","C","Lichtenhagen",94.6,5.4
"2","K","Kröpeliner-Tor-Vorstadt",95.7,4.3
"3","Q","Dierkow-Ost",99.3,0.7
"4","D","Groß Klein",95.8,4.2
"5","T","Gehlsdorf",98.9,1.1
"6","H","Reutershagen",98.5,1.5
"7","G","Schmarl",96.8,3.2
"8","M","Biestow",99.6,0.4
"9","N","Stadtmitte",93.7,6.3
"10","S","Toitenwinkel",97,3
"11","O","Brinckmansdorf",99.2,0.8
"12","E","Lütten Klein",95.2,4.8
"13","I","Hansaviertel",98.5,1.5
"14","U","Rostock-Ost",99.4,0.6
"15","L","Südstadt",96.8,3.2
"16","F","Evershagen",95.1,4.9
"17","R","Dierkow-West",99.4,0.6
"18","P","Dierkow-Neu",94.9,5.1
"19","A","Warnemünde",98.3,1.7
"20","B","Rostock-Heide",99.1,0.9
"21","J","Gartenstadt-Stadtweide",92.3,7.7
