"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","C","Lichtenhagen",95.1,4.9
"2","K","Kröpeliner-Tor-Vorstadt",96.3,3.7
"3","Q","Dierkow-Ost",98.8,1.2
"4","D","Groß Klein",95.9,4.1
"5","T","Gehlsdorf",99,1
"6","H","Reutershagen",98.5,1.5
"7","G","Schmarl",96.7,3.3
"8","M","Biestow",99.2,0.8
"9","N","Stadtmitte",94.6,5.4
"10","S","Toitenwinkel",96.9,3.1
"11","O","Brinckmansdorf",99.1,0.9
"12","E","Lütten Klein",95.2,4.8
"13","I","Hansaviertel",98.4,1.6
"14","U","Rostock-Ost",99.2,0.8
"15","L","Südstadt",94.9,5.1
"16","F","Evershagen",94.9,5.1
"17","R","Dierkow-West",99.1,0.9
"18","P","Dierkow-Neu",95.2,4.8
"19","A","Warnemünde",98.3,1.7
"20","B","Rostock-Heide",99.1,0.9
"21","J","Gartenstadt-Stadtweide",91.7,8.3
