"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","C","Lichtenhagen",92.6,7.4
"2","K","Kröpeliner-Tor-Vorstadt",95.1,4.9
"3","Q","Dierkow-Ost",98.9,1.1
"4","D","Groß Klein",88.9,11.1
"5","T","Gehlsdorf",95.4,4.6
"6","H","Reutershagen",98.4,1.6
"7","G","Schmarl",91.9,8.1
"8","M","Biestow",98.9,1.1
"9","N","Stadtmitte",94.1,5.9
"10","S","Toitenwinkel",89,11
"11","O","Brinckmansdorf",98.3,1.7
"12","E","Lütten Klein",91.5,8.5
"13","I","Hansaviertel",97.7,2.3
"14","U","Rostock-Ost",96.3,3.7
"15","L","Südstadt",91.4,8.6
"16","F","Evershagen",89.6,10.4
"17","R","Dierkow-West",98.5,1.5
"18","P","Dierkow-Neu",90,10
"19","A","Warnemünde",96.6,3.4
"20","B","Rostock-Heide",97.8,2.2
"21","J","Gartenstadt-Stadtweide",91,9
