"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","C","Lichtenhagen",94.9,5.1
"2","K","Kröpeliner-Tor-Vorstadt",96.5,3.5
"3","Q","Dierkow-Ost",99,1
"4","D","Groß Klein",95.1,4.9
"5","T","Gehlsdorf",98.8,1.2
"6","H","Reutershagen",98.3,1.7
"7","G","Schmarl",95.4,4.6
"8","M","Biestow",99.2,0.8
"9","N","Stadtmitte",95.5,4.5
"10","S","Toitenwinkel",96.2,3.8
"11","O","Brinckmansdorf",99,1
"12","E","Lütten Klein",94.6,5.4
"13","I","Hansaviertel",98.3,1.7
"14","U","Rostock-Ost",98.5,1.5
"15","L","Südstadt",95.1,4.9
"16","F","Evershagen",93.2,6.8
"17","R","Dierkow-West",99.6,0.4
"18","P","Dierkow-Neu",94.7,5.3
"19","A","Warnemünde",98.1,1.9
"20","B","Rostock-Heide",98.5,1.5
"21","J","Gartenstadt-Stadtweide",89,11
