"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","A","Warnemünde",96.9,3.1
"2","B","Rostock-Heide",97.2,2.8
"3","C","Lichtenhagen",92.1,7.9
"4","D","Groß Klein",87.9,12.1
"5","E","Lütten Klein",90.5,9.5
"6","F","Evershagen",89.6,10.4
"7","G","Schmarl",91.1,8.9
"8","H","Reutershagen",98,2
"9","I","Hansaviertel",97.4,2.6
"10","J","Gartenstadt-Stadtweide",88.7,11.3
"11","K","Kröpeliner-Tor-Vorstadt",94.7,5.3
"12","L","Südstadt",90.9,9.1
"13","M","Biestow",99.5,0.5
"14","N","Stadtmitte",93.9,6.1
"15","O","Brinckmansdorf",98.5,1.5
"16","P","Dierkow-Neu",88.9,11.1
"17","Q","Dierkow-Ost",98.8,1.2
"18","R","Dierkow-West",97.9,2.1
"19","S","Toitenwinkel",88.2,11.8
"20","T","Gehlsdorf",96.6,3.4
"21","U","Rostock-Ost",96.3,3.7
