"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","C","Lichtenhagen",94.3,5.7
"2","K","Kröpeliner-Tor-Vorstadt",96,4
"3","Q","Dierkow-Ost",99.6,0.4
"4","D","Groß Klein",95.8,4.2
"5","T","Gehlsdorf",99,1
"6","H","Reutershagen",98.5,1.5
"7","G","Schmarl",96.7,3.3
"8","M","Biestow",99.4,0.6
"9","N","Stadtmitte",93.5,6.5
"10","S","Toitenwinkel",97.3,2.7
"11","O","Brinckmansdorf",99.2,0.8
"12","E","Lütten Klein",95.6,4.4
"13","I","Hansaviertel",98.3,1.7
"14","U","Rostock-Ost",99.5,0.5
"15","L","Südstadt",96.2,3.8
"16","F","Evershagen",94.5,5.5
"17","R","Dierkow-West",99.6,0.4
"18","P","Dierkow-Neu",95.2,4.8
"19","A","Warnemünde",98.5,1.5
"20","B","Rostock-Heide",98.8,1.2
"21","J","Gartenstadt-Stadtweide",94.5,5.5
