"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","C","Lichtenhagen",95.2,4.8
"2","K","Kröpeliner-Tor-Vorstadt",95.8,4.2
"3","Q","Dierkow-Ost",99.3,0.7
"4","D","Groß Klein",95.8,4.2
"5","T","Gehlsdorf",99,1
"6","H","Reutershagen",98.5,1.5
"7","G","Schmarl",96.9,3.1
"8","M","Biestow",99.6,0.4
"9","N","Stadtmitte",94.1,5.9
"10","S","Toitenwinkel",96.9,3.1
"11","O","Brinckmansdorf",99.3,0.7
"12","E","Lütten Klein",96.1,3.9
"13","I","Hansaviertel",98.7,1.3
"14","U","Rostock-Ost",99.7,0.3
"15","L","Südstadt",97.3,2.7
"16","F","Evershagen",95.6,4.4
"17","R","Dierkow-West",99.4,0.6
"18","P","Dierkow-Neu",94.7,5.3
"19","A","Warnemünde",98.4,1.6
"20","B","Rostock-Heide",99.1,0.9
"21","J","Gartenstadt-Stadtweide",92.7,7.3
