"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","C","Lichtenhagen",92.1,7.9
"2","K","Kröpeliner-Tor-Vorstadt",94.8,5.2
"3","Q","Dierkow-Ost",99,1
"4","D","Groß Klein",88.4,11.6
"5","T","Gehlsdorf",96.7,3.3
"6","H","Reutershagen",98.2,1.8
"7","G","Schmarl",91.5,8.5
"8","M","Biestow",99.2,0.8
"9","N","Stadtmitte",94,6
"10","S","Toitenwinkel",89.1,10.9
"11","O","Brinckmansdorf",98.7,1.3
"12","E","Lütten Klein",90.7,9.3
"13","I","Hansaviertel",97.4,2.6
"14","U","Rostock-Ost",96,4
"15","L","Südstadt",91.1,8.9
"16","F","Evershagen",89.1,10.9
"17","R","Dierkow-West",98.4,1.6
"18","P","Dierkow-Neu",89.5,10.5
"19","A","Warnemünde",96.7,3.3
"20","B","Rostock-Heide",97.4,2.6
"21","J","Gartenstadt-Stadtweide",90.2,9.8
