"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","C","Lichtenhagen",92.9,7.1
"2","K","Kröpeliner-Tor-Vorstadt",95.7,4.3
"3","Q","Dierkow-Ost",98.9,1.1
"4","D","Groß Klein",89.6,10.4
"5","T","Gehlsdorf",94.8,5.2
"6","H","Reutershagen",98,2
"7","G","Schmarl",92.1,7.9
"8","M","Biestow",98.7,1.3
"9","N","Stadtmitte",94.4,5.6
"10","S","Toitenwinkel",90.8,9.2
"11","O","Brinckmansdorf",98.5,1.5
"12","E","Lütten Klein",92,8
"13","I","Hansaviertel",97.8,2.2
"14","U","Rostock-Ost",97,3
"15","L","Südstadt",92.6,7.4
"16","F","Evershagen",89.8,10.2
"17","R","Dierkow-West",98.4,1.6
"18","P","Dierkow-Neu",90.5,9.5
"19","A","Warnemünde",96.8,3.2
"20","B","Rostock-Heide",98.3,1.7
"21","J","Gartenstadt-Stadtweide",88.1,11.9
