"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","A","Warnemünde",93.5,6.5
"2","B","Rostock-Heide",95.6,4.4
"3","C","Lichtenhagen",90.9,9.1
"4","D","Groß Klein",86,14
"5","E","Lütten Klein",87.7,12.3
"6","F","Evershagen",88.1,11.9
"7","G","Schmarl",83.1,16.9
"8","H","Reutershagen",95.6,4.4
"9","I","Hansaviertel",96.8,3.2
"10","J","Gartenstadt-Stadtweide",88.2,11.8
"11","K","Kröpeliner-Tor-Vorstadt",92.9,7.1
"12","L","Südstadt",91,9
"13","M","Biestow",99.1,0.9
"14","N","Stadtmitte",93,7
"15","O","Brinckmansdorf",98,2
"16","P","Dierkow-Neu",85.7,14.3
"17","Q","Dierkow-Ost",98.7,1.3
"18","R","Dierkow-West",97.8,2.2
"19","S","Toitenwinkel",84.3,15.7
"20","T","Gehlsdorf",98,2
"21","U","Rostock-Ost",95.4,4.6
