"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","A","Warnemünde",94.1,5.9
"2","B","Rostock-Heide",94.8,5.2
"3","C","Lichtenhagen",91.2,8.8
"4","D","Groß Klein",87.2,12.8
"5","E","Lütten Klein",88.8,11.2
"6","F","Evershagen",88,12
"7","G","Schmarl",87.4,12.6
"8","H","Reutershagen",96.3,3.7
"9","I","Hansaviertel",96.7,3.3
"10","J","Gartenstadt-Stadtweide",87,13
"11","K","Kröpeliner-Tor-Vorstadt",93.5,6.5
"12","L","Südstadt",90.8,9.2
"13","M","Biestow",99.3,0.7
"14","N","Stadtmitte",92.8,7.2
"15","O","Brinckmansdorf",98,2
"16","P","Dierkow-Neu",87.4,12.6
"17","Q","Dierkow-Ost",98.9,1.1
"18","R","Dierkow-West",97.5,2.5
"19","S","Toitenwinkel",85.6,14.4
"20","T","Gehlsdorf",96.8,3.2
"21","U","Rostock-Ost",95.2,4.8
