"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","C","Lichtenhagen",95,5
"2","K","Kröpeliner-Tor-Vorstadt",96.5,3.5
"3","Q","Dierkow-Ost",98.8,1.2
"4","D","Groß Klein",95.7,4.3
"5","T","Gehlsdorf",99,1
"6","H","Reutershagen",98.2,1.8
"7","G","Schmarl",96.2,3.8
"8","M","Biestow",99.1,0.9
"9","N","Stadtmitte",95.2,4.8
"10","S","Toitenwinkel",96.6,3.4
"11","O","Brinckmansdorf",99,1
"12","E","Lütten Klein",94.8,5.2
"13","I","Hansaviertel",98.2,1.8
"14","U","Rostock-Ost",97.9,2.1
"15","L","Südstadt",95.2,4.8
"16","F","Evershagen",93.9,6.1
"17","R","Dierkow-West",99.2,0.8
"18","P","Dierkow-Neu",94.7,5.3
"19","A","Warnemünde",98,2
"20","B","Rostock-Heide",99.2,0.8
"21","J","Gartenstadt-Stadtweide",90.7,9.3
