"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","C","Lichtenhagen",95.5,4.5
"2","K","Kröpeliner-Tor-Vorstadt",96.3,3.7
"3","Q","Dierkow-Ost",99.1,0.9
"4","D","Groß Klein",96.1,3.9
"5","T","Gehlsdorf",98.9,1.1
"6","H","Reutershagen",98.6,1.4
"7","G","Schmarl",97,3
"8","M","Biestow",99.4,0.6
"9","N","Stadtmitte",94.7,5.3
"10","S","Toitenwinkel",97.5,2.5
"11","O","Brinckmansdorf",99.3,0.7
"12","E","Lütten Klein",96.2,3.8
"13","I","Hansaviertel",98.8,1.2
"14","U","Rostock-Ost",99.3,0.7
"15","L","Südstadt",96.2,3.8
"16","F","Evershagen",95,5
"17","R","Dierkow-West",99.6,0.4
"18","P","Dierkow-Neu",95.5,4.5
"19","A","Warnemünde",98.6,1.4
"20","B","Rostock-Heide",98.9,1.1
"21","J","Gartenstadt-Stadtweide",92.1,7.9
