"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","C","Lichtenhagen",94.3,5.7
"2","K","Kröpeliner-Tor-Vorstadt",96.5,3.5
"3","Q","Dierkow-Ost",99.1,0.9
"4","D","Groß Klein",94,6
"5","T","Gehlsdorf",99.1,0.9
"6","H","Reutershagen",97.7,2.3
"7","G","Schmarl",93.1,6.9
"8","M","Biestow",99.5,0.5
"9","N","Stadtmitte",94.8,5.2
"10","S","Toitenwinkel",94.2,5.8
"11","O","Brinckmansdorf",99.1,0.9
"12","E","Lütten Klein",93.4,6.6
"13","I","Hansaviertel",98.1,1.9
"14","U","Rostock-Ost",96.8,3.2
"15","L","Südstadt",94.6,5.4
"16","F","Evershagen",92.4,7.6
"17","R","Dierkow-West",98.7,1.3
"18","P","Dierkow-Neu",93.7,6.3
"19","A","Warnemünde",98.1,1.9
"20","B","Rostock-Heide",98.4,1.6
"21","J","Gartenstadt-Stadtweide",88.8,11.2
