"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","C","Lichtenhagen",92.4,7.6
"2","K","Kröpeliner-Tor-Vorstadt",96.4,3.6
"3","Q","Dierkow-Ost",98.7,1.3
"4","D","Groß Klein",92.3,7.7
"5","T","Gehlsdorf",97.9,2.1
"6","H","Reutershagen",97.5,2.5
"7","G","Schmarl",93.2,6.8
"8","M","Biestow",99.2,0.8
"9","N","Stadtmitte",95,5
"10","S","Toitenwinkel",92.3,7.7
"11","O","Brinckmansdorf",98.9,1.1
"12","E","Lütten Klein",92.7,7.3
"13","I","Hansaviertel",98,2
"14","U","Rostock-Ost",96.8,3.2
"15","L","Südstadt",93.8,6.2
"16","F","Evershagen",90.9,9.1
"17","R","Dierkow-West",98.8,1.2
"18","P","Dierkow-Neu",92,8
"19","A","Warnemünde",97.4,2.6
"20","B","Rostock-Heide",97.8,2.2
"21","J","Gartenstadt-Stadtweide",88,12
