"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","C","Lichtenhagen",95.5,4.5
"2","K","Kröpeliner-Tor-Vorstadt",96,4
"3","Q","Dierkow-Ost",99.4,0.6
"4","D","Groß Klein",96.1,3.9
"5","T","Gehlsdorf",99,1
"6","H","Reutershagen",98.6,1.4
"7","G","Schmarl",96.9,3.1
"8","M","Biestow",99.3,0.7
"9","N","Stadtmitte",95.3,4.7
"10","S","Toitenwinkel",97.3,2.7
"11","O","Brinckmansdorf",99.3,0.7
"12","E","Lütten Klein",96.1,3.9
"13","I","Hansaviertel",98.6,1.4
"14","U","Rostock-Ost",99,1
"15","L","Südstadt",96.7,3.3
"16","F","Evershagen",94.8,5.2
"17","R","Dierkow-West",99.5,0.5
"18","P","Dierkow-Neu",95.4,4.6
"19","A","Warnemünde",98.5,1.5
"20","B","Rostock-Heide",99,1
"21","J","Gartenstadt-Stadtweide",94.7,5.3
