"","stadtbereich_code","stadtbereich_bezeichnung","anteil_deutsch","anteil_auslaendisch"
"1","C","Lichtenhagen",92.2,7.8
"2","K","Kröpeliner-Tor-Vorstadt",96,4
"3","Q","Dierkow-Ost",99.1,0.9
"4","D","Groß Klein",90.7,9.3
"5","T","Gehlsdorf",94.4,5.6
"6","H","Reutershagen",97.8,2.2
"7","G","Schmarl",92.9,7.1
"8","M","Biestow",99.1,0.9
"9","N","Stadtmitte",94.7,5.3
"10","S","Toitenwinkel",91.4,8.6
"11","O","Brinckmansdorf",98.7,1.3
"12","E","Lütten Klein",92.5,7.5
"13","I","Hansaviertel",97.9,2.1
"14","U","Rostock-Ost",96.4,3.6
"15","L","Südstadt",93.2,6.8
"16","F","Evershagen",90.5,9.5
"17","R","Dierkow-West",98.7,1.3
"18","P","Dierkow-Neu",91,9
"19","A","Warnemünde",97.2,2.8
"20","B","Rostock-Heide",98.2,1.8
"21","J","Gartenstadt-Stadtweide",88.5,11.5
