"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","C","Lichtenhagen",43.4,41.6,5.6,9.3
"2","K","Kröpeliner-Tor-Vorstadt",65,23.9,4.3,6.6
"3","Q","Dierkow-Ost",27.5,59.8,7.9,4.8
"4","D","Groß Klein",44.5,37.8,6.9,10.8
"5","T","Gehlsdorf",41.8,46.1,4,7.9
"6","H","Reutershagen",37.9,43.6,10.5,8
"7","G","Schmarl",44.2,38.7,5.9,11.1
"8","M","Biestow",32.3,56.6,6.7,4.4
"9","N","Stadtmitte",57,30.8,4.6,7.5
"10","S","Toitenwinkel",48.9,33.2,5.9,12
"11","O","Brinckmansdorf",34.8,55.5,4.7,4.9
"12","E","Lütten Klein",37.3,40.8,10.5,11.3
"13","I","Hansaviertel",47.7,37.9,7.6,6.7
"14","U","Rostock-Ost",32.8,56.4,4.4,6.2
"15","L","Südstadt",37.3,40.9,12.6,9.1
"16","F","Evershagen",42.7,39.7,7.6,9.8
"17","R","Dierkow-West",30.6,56.8,6.8,5.8
"18","P","Dierkow-Neu",50.7,32.4,5,11.9
"19","A","Warnemünde",29.2,51.6,10,9.1
"20","B","Rostock-Heide",30.8,54.2,6.8,8.2
"21","J","Gartenstadt-Stadtweide",38.4,50.9,6.1,4.5
