"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","A","Warnemünde",29.9,48.2,10.6,9.5
"2","B","Rostock-Heide",31.6,51.8,6.9,8.9
"3","C","Lichtenhagen",45.5,35.8,7.8,9.5
"4","D","Groß Klein",48,32.4,7.5,10.1
"5","E","Lütten Klein",45.7,29.3,11.5,11.7
"6","F","Evershagen",47.8,32.9,8.1,9.3
"7","G","Schmarl",49.7,29.4,6.6,8.9
"8","H","Reutershagen",46.5,35.1,9.1,8
"9","I","Hansaviertel",55.5,30.7,6.9,6.5
"10","J","Gartenstadt-Stadtweide",35,46.1,6.9,4.8
"11","K","Kröpeliner-Tor-Vorstadt",66.2,22.4,4.1,6
"12","L","Südstadt",50,28.6,10.7,9.5
"13","M","Biestow",29.4,54.9,10.3,5.1
"14","N","Stadtmitte",56.5,31,5,6.6
"15","O","Brinckmansdorf",36.3,51.1,6.1,6.2
"16","P","Dierkow-Neu",51.9,29.5,5.7,10.9
"17","Q","Dierkow-Ost",30.1,55.1,9.6,5.1
"18","R","Dierkow-West",35.9,49,9,5.1
"19","S","Toitenwinkel",51.4,30,5.3,9.8
"20","T","Gehlsdorf",42.3,45.5,4.9,7
"21","U","Rostock-Ost",32.5,54.6,5.8,6.3
