"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","A","Warnemünde",29.6,49.9,10.5,9.6
"2","B","Rostock-Heide",31.3,52.4,6.7,9
"3","C","Lichtenhagen",45,36.9,7.8,9.3
"4","D","Groß Klein",46.8,33.8,7.6,10.5
"5","E","Lütten Klein",44.6,30.7,11.8,11.9
"6","F","Evershagen",47,34.1,8.3,9.5
"7","G","Schmarl",50.4,32,6.7,9.8
"8","H","Reutershagen",45.2,36.7,9.8,8.1
"9","I","Hansaviertel",55,31.4,6.7,6.6
"10","J","Gartenstadt-Stadtweide",34.2,46.6,7.4,4.5
"11","K","Kröpeliner-Tor-Vorstadt",66.4,22.6,4.3,6.1
"12","L","Südstadt",47.9,30.3,11.2,9.6
"13","M","Biestow",28.2,56.8,9.7,5
"14","N","Stadtmitte",56.9,30.7,5,6.8
"15","O","Brinckmansdorf",35.1,52.7,6,5.9
"16","P","Dierkow-Neu",51.5,30.6,5.4,11.4
"17","Q","Dierkow-Ost",29.6,55.2,10.4,4.7
"18","R","Dierkow-West",33.1,51.6,8.9,5.6
"19","S","Toitenwinkel",51.4,31,5.3,10.3
"20","T","Gehlsdorf",43,44.8,4.2,7.2
"21","U","Rostock-Ost",32.6,55.1,5.1,6.4
