"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","C","Lichtenhagen",44.4,39,6.7,9.1
"2","K","Kröpeliner-Tor-Vorstadt",66.9,22.3,4.4,6.2
"3","Q","Dierkow-Ost",27.1,57.7,10.5,4.7
"4","D","Groß Klein",46.3,35.3,7.1,10.5
"5","T","Gehlsdorf",41.4,44.7,4.1,7.5
"6","H","Reutershagen",43.2,38.6,9.7,8.2
"7","G","Schmarl",48.8,34.2,6.1,10.4
"8","M","Biestow",29.8,57.1,8.2,4.6
"9","N","Stadtmitte",57.1,30.5,5.1,6.9
"10","S","Toitenwinkel",51,31.9,5.6,11
"11","O","Brinckmansdorf",33.4,55.3,5.6,5.6
"12","E","Lütten Klein",42.7,33.4,11.7,11.9
"13","I","Hansaviertel",53.4,32.7,7.3,6.5
"14","U","Rostock-Ost",30.5,58.3,4.6,6.4
"15","L","Südstadt",44.3,33.9,12,9.5
"16","F","Evershagen",46,36,8,9.7
"17","R","Dierkow-West",29.5,55.8,8.5,6.1
"18","P","Dierkow-Neu",51.7,30.8,5.4,11.6
"19","A","Warnemünde",29.1,50.7,10.3,9.5
"20","B","Rostock-Heide",31.5,52.3,6.7,9.4
"21","J","Gartenstadt-Stadtweide",37.4,49.1,6.6,4.6
