"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","C","Lichtenhagen",44.6,39.8,6.2,9.2
"2","K","Kröpeliner-Tor-Vorstadt",66.7,22.5,4.3,6.2
"3","Q","Dierkow-Ost",26.9,59.3,8.8,5
"4","D","Groß Klein",45.4,36.3,7.1,11
"5","T","Gehlsdorf",42.2,46,4.1,7.5
"6","H","Reutershagen",41.7,40.1,10,8
"7","G","Schmarl",48.3,35.5,5.8,10.2
"8","M","Biestow",28.9,58.3,8,4.6
"9","N","Stadtmitte",56.9,30.5,5.2,6.9
"10","S","Toitenwinkel",50.8,31.8,5.7,11.6
"11","O","Brinckmansdorf",33.4,55.6,5.4,5.4
"12","E","Lütten Klein",41.3,35.4,11.3,11.8
"13","I","Hansaviertel",52.5,33.3,7.5,6.5
"14","U","Rostock-Ost",30.9,57.5,4.6,6.7
"15","L","Südstadt",42.4,35.5,12.4,9.5
"16","F","Evershagen",45.7,36.3,7.9,9.9
"17","R","Dierkow-West",28.7,57.1,8.5,5.7
"18","P","Dierkow-Neu",52.2,30.4,5.4,11.9
"19","A","Warnemünde",28.7,51.6,10,9.4
"20","B","Rostock-Heide",31.4,52,7.2,9.4
"21","J","Gartenstadt-Stadtweide",39,49.4,6.6,4.5
