"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","C","Lichtenhagen",44,40.7,5.7,9.5
"2","K","Kröpeliner-Tor-Vorstadt",65.4,23.9,4.2,6.5
"3","Q","Dierkow-Ost",27.7,59.8,7.9,4.6
"4","D","Groß Klein",44.7,37.8,6.9,10.5
"5","T","Gehlsdorf",41,47,4.2,7.7
"6","H","Reutershagen",38.5,43.1,10.3,8.1
"7","G","Schmarl",45.4,38.2,5.7,10.6
"8","M","Biestow",31.8,56.6,7.2,4.4
"9","N","Stadtmitte",57.5,30.5,4.6,7.3
"10","S","Toitenwinkel",49.5,32.8,5.9,11.8
"11","O","Brinckmansdorf",34.5,55.8,4.7,5
"12","E","Lütten Klein",38.1,39.7,10.7,11.5
"13","I","Hansaviertel",48.6,37,7.7,6.7
"14","U","Rostock-Ost",32.6,56.9,4,6.4
"15","L","Südstadt",37.7,40.4,12.7,9.2
"16","F","Evershagen",43.2,39,7.7,10
"17","R","Dierkow-West",30.5,56.4,7.2,5.8
"18","P","Dierkow-Neu",51.2,31.9,5,11.8
"19","A","Warnemünde",29.1,51.5,10,9.3
"20","B","Rostock-Heide",30.4,54,7.2,8.4
"21","J","Gartenstadt-Stadtweide",39.2,50.2,6,4.5
