"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","C","Lichtenhagen",44.6,39.9,6.1,9.2
"2","K","Kröpeliner-Tor-Vorstadt",66.4,22.7,4.3,6.4
"3","Q","Dierkow-Ost",27,59.5,8.4,5
"4","D","Groß Klein",45.3,36.3,7.3,11
"5","T","Gehlsdorf",41.7,46.1,4.2,7.8
"6","H","Reutershagen",41.3,40.6,10,8
"7","G","Schmarl",47.9,35.8,5.7,10.4
"8","M","Biestow",29.5,58.4,7.5,4.5
"9","N","Stadtmitte",56.9,30.3,5.1,7.2
"10","S","Toitenwinkel",50.4,31.7,5.8,12
"11","O","Brinckmansdorf",33.3,55.7,5.3,5.4
"12","E","Lütten Klein",40.4,35.9,11.6,12
"13","I","Hansaviertel",51,34.6,7.5,6.7
"14","U","Rostock-Ost",30,58.6,4.3,6.7
"15","L","Südstadt",40.9,37,12.5,9.6
"16","F","Evershagen",45,37,7.9,9.9
"17","R","Dierkow-West",28.9,56.7,8.2,6.2
"18","P","Dierkow-Neu",52.4,29.9,5.4,12.1
"19","A","Warnemünde",29,51.1,10.1,9.6
"20","B","Rostock-Heide",30.4,53.2,7.2,9.3
"21","J","Gartenstadt-Stadtweide",39.7,48.3,6.8,4.7
