"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","C","Lichtenhagen",44.7,37.5,7.6,9.3
"2","K","Kröpeliner-Tor-Vorstadt",66.7,22.5,4.1,6.1
"3","Q","Dierkow-Ost",29.3,54.7,10.8,5.3
"4","D","Groß Klein",46.3,34.2,7.6,10.6
"5","T","Gehlsdorf",42.9,44.8,4.2,6.9
"6","H","Reutershagen",44.7,37.2,9.8,8.1
"7","G","Schmarl",50.2,32.6,6.4,9.8
"8","M","Biestow",28.2,57.3,9.4,4.8
"9","N","Stadtmitte",56.9,30.7,5.2,6.8
"10","S","Toitenwinkel",50.9,31.1,5.5,10.3
"11","O","Brinckmansdorf",33.9,54,6,5.9
"12","E","Lütten Klein",43.9,31.2,11.9,12
"13","I","Hansaviertel",54.7,31.7,6.7,6.6
"14","U","Rostock-Ost",33,55.3,4.7,6.3
"15","L","Südstadt",46.9,31.1,11.5,9.5
"16","F","Evershagen",46.6,34.5,8.1,9.5
"17","R","Dierkow-West",32.5,53,8.5,5.6
"18","P","Dierkow-Neu",51.6,30.7,5.5,11.4
"19","A","Warnemünde",29.4,50.1,10.4,9.6
"20","B","Rostock-Heide",29.6,53.4,6.8,9.3
"21","J","Gartenstadt-Stadtweide",35.8,47.9,7.3,4.6
