"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","C","Lichtenhagen",43.7,41.5,5.6,9.1
"2","K","Kröpeliner-Tor-Vorstadt",64.4,24.5,4.2,6.8
"3","Q","Dierkow-Ost",27.4,59.8,7.7,5.2
"4","D","Groß Klein",44.4,37.9,6.9,10.7
"5","T","Gehlsdorf",42.4,45.5,4.1,8
"6","H","Reutershagen",37.4,44.1,10.6,7.9
"7","G","Schmarl",43.8,38.8,5.9,11.3
"8","M","Biestow",32.7,56.2,6.6,4.5
"9","N","Stadtmitte",57.2,31,4.4,7.4
"10","S","Toitenwinkel",48.1,34.1,5.8,12
"11","O","Brinckmansdorf",35,55.1,4.8,5
"12","E","Lütten Klein",36.2,42.2,10.3,11.3
"13","I","Hansaviertel",47.6,38.4,7.1,6.9
"14","U","Rostock-Ost",34.5,55.6,4,5.8
"15","L","Südstadt",37.1,41.3,12.5,9.1
"16","F","Evershagen",41.8,40.5,7.7,9.9
"17","R","Dierkow-West",31.2,56.4,6.8,5.6
"18","P","Dierkow-Neu",49.7,33.4,4.9,11.9
"19","A","Warnemünde",29.5,51.5,9.8,9.1
"20","B","Rostock-Heide",30.7,54.7,6.9,7.7
"21","J","Gartenstadt-Stadtweide",38.2,50.8,6.2,4.7
