"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","C","Lichtenhagen",44.9,40,5.8,9.2
"2","K","Kröpeliner-Tor-Vorstadt",65.5,23.6,4.2,6.5
"3","Q","Dierkow-Ost",27.1,59.3,8.7,4.9
"4","D","Groß Klein",45,37.4,6.8,10.6
"5","T","Gehlsdorf",40.4,47.3,4.3,7.8
"6","H","Reutershagen",39.7,41.9,10.3,8.1
"7","G","Schmarl",46.8,36.6,5.9,10.6
"8","M","Biestow",31.1,56.5,7.6,4.8
"9","N","Stadtmitte",57.4,29.9,4.9,7.3
"10","S","Toitenwinkel",50.2,31.9,6,11.9
"11","O","Brinckmansdorf",33.8,55.6,5.1,5.3
"12","E","Lütten Klein",39.4,37.6,11.1,11.7
"13","I","Hansaviertel",50,35.6,7.6,6.7
"14","U","Rostock-Ost",31,59.5,3.8,5.5
"15","L","Südstadt",40,37.9,12.6,9.4
"16","F","Evershagen",44.2,37.9,7.8,9.9
"17","R","Dierkow-West",29.5,56.5,7.7,6.3
"18","P","Dierkow-Neu",52.3,30.6,5.2,11.8
"19","A","Warnemünde",29,51.5,10,9.4
"20","B","Rostock-Heide",29.8,53.4,7.8,9
"21","J","Gartenstadt-Stadtweide",38.8,49.4,6.6,5
