"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","C","Lichtenhagen",44.4,40.2,5.8,9.4
"2","K","Kröpeliner-Tor-Vorstadt",65.6,23.7,4.2,6.4
"3","Q","Dierkow-Ost",28.6,58.7,8,4.7
"4","D","Groß Klein",45.2,37.7,6.7,10.3
"5","T","Gehlsdorf",41,47,4.1,7.8
"6","H","Reutershagen",39,42.7,10.3,8
"7","G","Schmarl",46.3,37.1,5.7,10.7
"8","M","Biestow",31.2,57,7.1,4.6
"9","N","Stadtmitte",57.7,30,4.6,7.4
"10","S","Toitenwinkel",50,32.2,5.9,11.8
"11","O","Brinckmansdorf",34.6,55.3,4.9,5
"12","E","Lütten Klein",38.7,38.6,11,11.6
"13","I","Hansaviertel",49.2,36.3,7.7,6.7
"14","U","Rostock-Ost",32.4,58.1,3.8,5.5
"15","L","Südstadt",38.8,39.2,12.8,9.1
"16","F","Evershagen",44,38.3,7.7,9.9
"17","R","Dierkow-West",30.1,56,7.5,6.4
"18","P","Dierkow-Neu",51.9,31,5,12
"19","A","Warnemünde",29.1,51.2,9.8,9.7
"20","B","Rostock-Heide",30.1,53.4,7.3,9.2
"21","J","Gartenstadt-Stadtweide",39.3,49.7,6.3,4.6
