"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","C","Lichtenhagen",42.3,43.6,5.4,8.8
"2","K","Kröpeliner-Tor-Vorstadt",62.8,25.9,4.2,6.9
"3","Q","Dierkow-Ost",28.7,58.6,7.7,5
"4","D","Groß Klein",43.5,39,6.7,10.8
"5","T","Gehlsdorf",42.4,46.2,4.1,7.3
"6","H","Reutershagen",36.1,45.4,10.6,7.9
"7","G","Schmarl",43,40.6,5.7,10.4
"8","M","Biestow",32.8,56.4,6.2,4.6
"9","N","Stadtmitte",55.9,32.1,4.6,7.3
"10","S","Toitenwinkel",47.4,35.5,5.6,11.5
"11","O","Brinckmansdorf",36.6,53.9,4.2,5.2
"12","E","Lütten Klein",36.1,43.2,9.7,11
"13","I","Hansaviertel",45.7,39.9,7.3,7.1
"14","U","Rostock-Ost",35.6,55.2,3.8,5.1
"15","L","Südstadt",35.4,43,12.7,8.9
"16","F","Evershagen",40.7,41.8,7.8,9.7
"17","R","Dierkow-West",31.8,56.9,6.3,5.1
"18","P","Dierkow-Neu",49.3,34.3,4.7,11.7
"19","A","Warnemünde",30.5,51,9.9,8.6
"20","B","Rostock-Heide",33.4,52.4,6.4,7.8
"21","J","Gartenstadt-Stadtweide",40.5,48.6,6.4,4.5
