"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","C","Lichtenhagen",43.3,42.4,5.5,8.7
"2","K","Kröpeliner-Tor-Vorstadt",63.7,25,4.3,6.9
"3","Q","Dierkow-Ost",27.5,59.6,7.9,5
"4","D","Groß Klein",44.3,38.2,6.8,10.7
"5","T","Gehlsdorf",42.5,45.7,4.2,7.6
"6","H","Reutershagen",36.7,44.7,10.6,7.9
"7","G","Schmarl",43.6,39.5,5.7,11
"8","M","Biestow",33.2,55.9,6.5,4.4
"9","N","Stadtmitte",57,31.1,4.5,7.4
"10","S","Toitenwinkel",47.8,35.1,5.6,11.4
"11","O","Brinckmansdorf",35.9,54.4,4.5,5.2
"12","E","Lütten Klein",36.2,42.6,10.1,11.1
"13","I","Hansaviertel",47.4,38.7,7.2,6.7
"14","U","Rostock-Ost",35.3,54.8,4,5.7
"15","L","Südstadt",36.4,42.1,12.5,9
"16","F","Evershagen",41.1,41.2,7.7,10
"17","R","Dierkow-West",32.4,55.7,6.4,5.5
"18","P","Dierkow-Neu",48.9,34.2,5,11.9
"19","A","Warnemünde",30.1,51.1,9.8,9
"20","B","Rostock-Heide",33.1,52.9,6.5,7.6
"21","J","Gartenstadt-Stadtweide",39.5,49.6,6,4.7
