"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","C","Lichtenhagen",42,43.9,5.4,8.6
"2","K","Kröpeliner-Tor-Vorstadt",61.7,26.7,4.5,7
"3","Q","Dierkow-Ost",29.4,58.3,7.6,4.7
"4","D","Groß Klein",42.9,39.6,6.7,10.8
"5","T","Gehlsdorf",42.9,46.5,4,6.7
"6","H","Reutershagen",35.7,45.9,10.6,7.8
"7","G","Schmarl",42.5,41.5,5.7,10.1
"8","M","Biestow",33.8,55.9,5.9,4.5
"9","N","Stadtmitte",54.7,33.3,4.8,7.2
"10","S","Toitenwinkel",47.5,35.9,5.5,11.2
"11","O","Brinckmansdorf",37.1,53.4,4.2,5.2
"12","E","Lütten Klein",36,43.3,9.7,11
"13","I","Hansaviertel",44.8,40.4,7.5,7.3
"14","U","Rostock-Ost",36.6,54.4,3.6,5.1
"15","L","Südstadt",34.8,43.7,12.7,8.8
"16","F","Evershagen",40.2,42.5,7.7,9.6
"17","R","Dierkow-West",32.4,56.7,5.7,5.2
"18","P","Dierkow-Neu",48.8,34.9,4.6,11.7
"19","A","Warnemünde",30.7,50.9,10,8.3
"20","B","Rostock-Heide",34.7,51.2,6.2,7.9
"21","J","Gartenstadt-Stadtweide",39.8,49.5,6.3,4.3
