"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","C","Lichtenhagen",44.4,38.2,7.3,9.2
"2","K","Kröpeliner-Tor-Vorstadt",66.5,22.6,4.2,6.1
"3","Q","Dierkow-Ost",28.4,55.8,10.5,5.3
"4","D","Groß Klein",46,34.8,7.4,10.5
"5","T","Gehlsdorf",41.9,45.1,4,6.9
"6","H","Reutershagen",43.9,38.1,9.7,8.2
"7","G","Schmarl",50.1,32.9,6.3,9.9
"8","M","Biestow",28.2,57.3,9.2,4.9
"9","N","Stadtmitte",57.1,30.7,5.1,6.7
"10","S","Toitenwinkel",50.4,31.2,5.5,10.6
"11","O","Brinckmansdorf",33.4,54.7,5.9,5.7
"12","E","Lütten Klein",43.3,32,12.1,11.9
"13","I","Hansaviertel",54.4,32.1,6.9,6.5
"14","U","Rostock-Ost",32.2,55.6,4.8,6.4
"15","L","Südstadt",46,32,11.8,9.4
"16","F","Evershagen",46.4,35,7.9,9.7
"17","R","Dierkow-West",32.8,52.4,8.4,6
"18","P","Dierkow-Neu",51.3,30.8,5.5,11.6
"19","A","Warnemünde",29.1,50.3,10.3,9.7
"20","B","Rostock-Heide",29.5,53.4,6.7,9.7
"21","J","Gartenstadt-Stadtweide",36.6,48.7,7.5,4.5
