"","stadtbereich_code","stadtbereich_bezeichnung","anteil_ledige","anteil_verheiratete","anteil_verwitwete","anteil_geschiedene"
"1","C","Lichtenhagen",44,44,7.1,9.2
"2","K","Kröpeliner-Tor-Vorstadt",66.9,66.9,4.3,6.3
"3","Q","Dierkow-Ost",26.9,26.9,11,5
"4","D","Groß Klein",46.3,46.3,7.1,10.5
"5","T","Gehlsdorf",41.8,41.8,4.2,7.3
"6","H","Reutershagen",43.6,43.6,9.7,8.1
"7","G","Schmarl",49.8,49.8,6.2,10
"8","M","Biestow",29.5,29.5,8.6,4.8
"9","N","Stadtmitte",57.1,57.1,5,6.8
"10","S","Toitenwinkel",50.3,50.3,5.6,11
"11","O","Brinckmansdorf",33.3,33.3,5.9,5.6
"12","E","Lütten Klein",42.9,42.9,12.1,11.9
"13","I","Hansaviertel",53.8,53.8,7.1,6.4
"14","U","Rostock-Ost",32.2,32.2,4.7,5.7
"15","L","Südstadt",45.2,45.2,11.8,9.4
"16","F","Evershagen",45.9,45.9,7.9,9.7
"17","R","Dierkow-West",32,32,8.3,6.1
"18","P","Dierkow-Neu",51.5,51.5,5.3,11.8
"19","A","Warnemünde",29,29,10.5,9.5
"20","B","Rostock-Heide",31.1,31.1,6.6,9.9
"21","J","Gartenstadt-Stadtweide",37,37,6.7,4.5
