"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_haushalte","anteil_single","anteil_single_juenger_30","anteil_single_65_aelter","anteil_mit_kindern","anteil_alleinerziehende_an_mit_kindern"
"1","Q","Dierkow-Ost",477,25.6,5.7,57.4,18,15.1
"2","R","Dierkow-West",564,27.1,6.5,53.6,21.3,17.5
"3","B","Rostock-Heide",1044,38.6,3.7,40.2,13,20.6
"4","S","Toitenwinkel",8368,51.4,21.7,20.6,18.4,36.4
"5","N","Stadtmitte",11239,47.7,27.6,19.2,20.2,23.2
"6","U","Rostock-Ost",553,22.6,8.8,39.2,23.5,19.2
"7","G","Schmarl",4922,51.1,19.7,30.4,18.4,41
"8","L","Südstadt",8831,60.4,19.6,40.5,11.4,28.5
"9","O","Brinckmansdorf",4278,28,11.8,37.3,22.5,18.6
"10","P","Dierkow-Neu",6706,56,22.6,23.8,15.5,43.4
"11","K","Kröpeliner-Tor-Vorstadt",11651,56.4,36.8,14,14.1,26.3
"12","I","Hansaviertel",4720,52.4,27,25.3,16.3,28.1
"13","T","Gehlsdorf",2287,30.2,10.9,32.6,25.9,16.6
"14","M","Biestow",1276,31.2,4.8,62.6,18.3,18.5
"15","J","Gartenstadt-Stadtweide",1252,25.8,8.4,45.5,24.4,16
"16","H","Reutershagen",10251,53.9,19.5,34,14.7,34.3
"17","F","Evershagen",9304,51.8,21.5,33.7,15.7,37
"18","D","Groß Klein",7488,50.9,18.4,33.9,16.6,37.3
"19","A","Warnemünde",5019,45.7,4.3,50.1,10.7,26
"20","C","Lichtenhagen",7753,49.7,16.2,35.4,16.1,36.9
"21","E","Lütten Klein",10567,59.1,15.1,41.5,12.5,46.3
