"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_haushalte","anteil_single","anteil_single_juenger_30","anteil_single_65_aelter","anteil_mit_kindern"
"1","C","Lichtenhagen",7982,50.3,19.7,30.6,15.9
"2","K","Kröpeliner-Tor-Vorstadt",13111,66.7,42.3,10.4,13
"3","Q","Dierkow-Ost",511,27.4,8.6,51.4,15.7
"4","D","Groß Klein",7488,50.7,19.9,25.7,17.5
"5","T","Gehlsdorf",2038,34.2,10.3,24.5,24.6
"6","H","Reutershagen",10759,53.5,21.5,32.3,14.5
"7","G","Schmarl",4994,50.7,22.6,24.8,18.4
"8","M","Biestow",1312,28.5,5.6,54.3,19.1
"9","N","Stadtmitte",11348,55.4,32.9,14.7,18.9
"10","S","Toitenwinkel",8029,55.5,22.1,16.7,17.7
"11","O","Brinckmansdorf",3862,28.4,11.2,32.1,23.3
"12","E","Lütten Klein",10861,59.7,17.3,38.7,12.1
"13","I","Hansaviertel",5148,56.3,32.4,22.6,15.5
"14","U","Rostock-Ost",560,27.3,15,23.5,21.6
"15","L","Südstadt",8832,59.7,16.9,42.1,11.5
"16","F","Evershagen",9378,51.2,24.6,30.8,16
"17","R","Dierkow-West",533,27.8,8.8,48,15.4
"18","P","Dierkow-Neu",6758,58.6,25,16.7,15.6
"19","A","Warnemünde",4895,47.4,6.6,45.1,10.9
"20","B","Rostock-Heide",933,42.2,8.9,32.2,12.9
"21","J","Gartenstadt-Stadtweide",1308,27.4,13.4,35.4,25
