"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_haushalte","anteil_single","anteil_single_juenger_30","anteil_single_65_aelter","anteil_mit_kindern","anteil_alleinerziehende_an_mit_kindern"
"1","A","Warnemünde",5124,46.3,5.9,46.3,11.1,25.3
"2","B","Rostock-Heide",1000,42.4,11.3,34,11.2,22.3
"3","C","Lichtenhagen",7858,51.1,17.4,32.7,16.2,39
"4","D","Groß Klein",7500,52.7,19,30.2,16.6,41.8
"5","E","Lütten Klein",10550,61.5,15.6,39.3,11.8,49
"6","F","Evershagen",9410,52.2,22.4,31.6,15.7,39.5
"7","G","Schmarl",4987,52.9,22.4,28.2,17.8,44.8
"8","H","Reutershagen",10673,55.8,20.3,32.2,14.3,34
"9","I","Hansaviertel",5071,58,32.1,22,15.6,28.6
"10","J","Gartenstadt-Stadtweide",1283,27.7,10.4,36.9,25.3,17.5
"11","K","Kröpeliner-Tor-Vorstadt",12678,65.8,41.4,10.4,13.1,28.9
"12","L","Südstadt",8846,61.7,18.5,40.9,11.4,31.9
"13","M","Biestow",1299,31.4,4.7,56.4,18.3,18.5
"14","N","Stadtmitte",11728,54.5,31.2,15.9,19.3,23.5
"15","O","Brinckmansdorf",3947,29.7,11.9,34.5,22,17.9
"16","P","Dierkow-Neu",6798,58.8,23,19.9,15.2,45
"17","Q","Dierkow-Ost",498,29.5,4.8,57.1,18.3,14.3
"18","R","Dierkow-West",545,27.7,4,47,18.7,18.6
"19","S","Toitenwinkel",8323,55.4,21,17.7,18.4,40.4
"20","T","Gehlsdorf",2152,33,10.1,27.6,24.8,16.9
"21","U","Rostock-Ost",589,26.5,12.2,29.5,22.1,16.2
