"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_haushalte","anteil_single","anteil_single_juenger_30","anteil_single_65_aelter","anteil_mit_kindern","anteil_alleinerziehende_an_mit_kindern"
"1","A","Warnemünde",5060,46.1,4.5,50.2,11.1,27
"2","B","Rostock-Heide",1051,39,6.3,40.7,13.5,21.8
"3","C","Lichtenhagen",7759,50.2,15.9,35.3,16,37.4
"4","D","Groß Klein",7459,50.6,18,33.6,16.6,38.4
"5","E","Lütten Klein",10400,60,14.4,41.7,12.3,47.8
"6","F","Evershagen",9338,52.2,20.4,34.1,15.7,37
"7","G","Schmarl",4896,51.2,19.4,30.7,18.4,41.6
"8","H","Reutershagen",10248,54.1,18.7,34.1,14.9,34.2
"9","I","Hansaviertel",4710,52.4,26.8,25.1,16.3,28.2
"10","J","Gartenstadt-Stadtweide",1262,25.8,7.4,44.5,24.2,19.3
"11","K","Kröpeliner-Tor-Vorstadt",11680,56.6,35.7,13.6,14.2,26
"12","L","Südstadt",8854,61,18.6,41,11.4,28.4
"13","M","Biestow",1259,31.1,4.3,60.9,18,17.3
"14","N","Stadtmitte",11234,47.8,27.4,18.9,20.3,23.4
"15","O","Brinckmansdorf",4158,27,11,37.7,22.5,18.5
"16","P","Dierkow-Neu",6595,56.1,21.6,23.6,15.5,42.4
"17","Q","Dierkow-Ost",486,27.4,6.8,55.6,18.7,16.5
"18","R","Dierkow-West",541,26.8,6.2,51,20.7,17
"19","S","Toitenwinkel",8364,51.4,21.1,20.6,18.6,36.9
"20","T","Gehlsdorf",2287,30.4,9.8,31.7,25.5,16.8
"21","U","Rostock-Ost",557,23.9,5.3,33.8,23.9,18
