"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_haushalte","anteil_single","anteil_single_juenger_30","anteil_single_65_aelter","anteil_mit_kindern","anteil_alleinerziehende_an_mit_kindern"
"1","A","Warnemünde",5089,45.3,4.3,49.1,11.2,26.6
"2","B","Rostock-Heide",1030,39.9,7.1,36.5,12.7,23.7
"3","C","Lichtenhagen",7780,50.1,15.3,35.5,16,38.3
"4","D","Groß Klein",7437,50.9,17.7,33.1,16.8,40
"5","E","Lütten Klein",10439,60.1,14.2,41.3,11.9,48.1
"6","F","Evershagen",9299,51.7,19.4,34.3,15.4,38.5
"7","G","Schmarl",4886,51.6,20.5,31.1,18,42.4
"8","H","Reutershagen",10365,53.5,18,34.4,14.8,33.2
"9","I","Hansaviertel",4767,52.2,26.9,25,16.2,27.8
"10","J","Gartenstadt-Stadtweide",1253,25.7,5.9,43.5,24.8,18
"11","K","Kröpeliner-Tor-Vorstadt",11725,56.2,33.8,14,14.1,27.6
"12","L","Südstadt",8756,60.9,17.6,41.9,11.6,30.5
"13","M","Biestow",1268,30.3,3.4,62.2,17.7,19.6
"14","N","Stadtmitte",11098,48.6,27,18.4,20.3,22.5
"15","O","Brinckmansdorf",3986,26.7,8.6,39.5,22.6,17.6
"16","P","Dierkow-Neu",6665,57.3,20.4,22.1,15,44.2
"17","Q","Dierkow-Ost",489,27.2,6,58.6,18.2,16.9
"18","R","Dierkow-West",535,28.4,4.6,50.7,19.8,17.9
"19","S","Toitenwinkel",8317,51.6,20.1,19.7,18.5,38
"20","T","Gehlsdorf",2237,31.1,8.5,30.5,24.8,17.1
"21","U","Rostock-Ost",551,24.3,7.5,35.1,24.3,16.4
