"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_haushalte","anteil_single","anteil_single_juenger_30","anteil_single_65_aelter","anteil_mit_kindern"
"1","C","Lichtenhagen",7958,50.9,19,31.3,16
"2","K","Kröpeliner-Tor-Vorstadt",12691,65.6,42.9,11,13.7
"3","Q","Dierkow-Ost",504,27.2,5.8,56.2,16.7
"4","D","Groß Klein",7559,51.8,19.4,26.5,17.3
"5","T","Gehlsdorf",2013,34.6,8.5,25.9,24.5
"6","H","Reutershagen",10755,54.6,21.8,32,14.4
"7","G","Schmarl",5023,51.9,22.8,25.5,18.8
"8","M","Biestow",1334,31,5.6,54.6,19.1
"9","N","Stadtmitte",11621,55,32.2,15.2,19.1
"10","S","Toitenwinkel",8023,56,21.5,16.3,18.1
"11","O","Brinckmansdorf",3895,29.4,10.5,33.1,22.2
"12","E","Lütten Klein",10900,61.2,16.4,38.9,12
"13","I","Hansaviertel",5116,57.1,31.9,22,15.4
"14","U","Rostock-Ost",569,27.6,14.6,28.7,22.1
"15","L","Südstadt",8887,60.9,18,41.4,11.5
"16","F","Evershagen",9531,52.1,24.1,30.9,15.4
"17","R","Dierkow-West",557,26.8,7.4,46.3,17.1
"18","P","Dierkow-Neu",6827,59.4,24.3,17,15.5
"19","A","Warnemünde",5004,47.6,6.1,45.7,11
"20","B","Rostock-Heide",938,43.3,8.9,33.3,12.4
"21","J","Gartenstadt-Stadtweide",1299,27.4,12.6,37.4,25.6
