"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_haushalte","anteil_single","anteil_single_juenger_30","anteil_single_65_aelter","anteil_mit_kindern"
"1","C","Lichtenhagen",7852,49,23.2,26.6,16
"2","K","Kröpeliner-Tor-Vorstadt",13043,67.2,46.3,8.8,12.6
"3","Q","Dierkow-Ost",526,24.9,8.4,48.9,15.6
"4","D","Groß Klein",7294,50.8,22.1,21.8,16.2
"5","T","Gehlsdorf",1946,31.7,13.1,22.7,23.9
"6","H","Reutershagen",10785,51.6,24.5,32.5,14.1
"7","G","Schmarl",4909,49.9,25.7,21.3,17.3
"8","M","Biestow",1308,26.9,5.7,50.9,20.3
"9","N","Stadtmitte",10877,57,35.1,13.1,17.4
"10","S","Toitenwinkel",7792,55.4,27.2,14.3,16.6
"11","O","Brinckmansdorf",3705,26.2,13.1,28.1,24.2
"12","E","Lütten Klein",10665,57.7,18.4,37.7,11.7
"13","I","Hansaviertel",5158,56.1,35,22,14.4
"14","U","Rostock-Ost",549,23.7,10,22.3,20
"15","L","Südstadt",8717,58.5,16.9,42,10.1
"16","F","Evershagen",9193,49.5,26.6,29.8,16.1
"17","R","Dierkow-West",530,26.4,8.6,45,16.6
"18","P","Dierkow-Neu",6611,58.1,28.5,14.5,15.1
"19","A","Warnemünde",4711,47.1,8.4,42.8,11.2
"20","B","Rostock-Heide",932,43.2,13.2,27.5,11.2
"21","J","Gartenstadt-Stadtweide",1303,26.4,16.9,32.6,26.4
